fa=0.01,thresh=15.6
fa=0.02,thresh=14.57
fa=0.04,thresh=13.46
fa=0.05,thresh=13.08
fa=0.1,thresh=11.82
fa=0.2,thresh=10.28
fa=0.3,thresh=9.48
fa=0.4,thresh=8.78
fa=0.5,thresh=8.12
fa=0.8,thresh=7.01
